gvkey	date	permco
7647	200203	3151
7647	200204	3151
7647	200205	3151
7647	200206	3151
7647	200207	3151
7647	200208	3151
7647	200209	3151
7647	200210	3151
7647	200211	3151
7647	200212	3151
7647	200301	3151
7647	200302	3151
7647	200303	3151
7647	200304	3151
7647	200305	3151
7647	200306	3151
7647	200307	3151
7647	200308	3151
7647	200309	3151
7647	200310	3151
7647	200311	3151
7647	200312	3151
7647	200401	3151
7647	200402	3151
7647	200403	3151
7647	200404	3151
7647	200405	3151
7647	200406	3151
7647	200407	3151
7647	200408	3151
7647	200409	3151
7647	200410	3151
7647	200411	3151
7647	200412	3151
7647	200501	3151
7647	200502	3151
7647	200503	3151
7647	200504	3151
7647	200505	3151
7647	200506	3151
7647	200507	3151
7647	200508	3151
7647	200509	3151
7647	200510	3151
7647	200511	3151
7647	200512	3151
7647	200601	3151
7647	200602	3151
7647	200603	3151
7647	200604	3151
7647	200605	3151
7647	200606	3151
7647	200607	3151
7647	200608	3151
7647	200609	3151
7647	200610	3151
7647	200611	3151
7647	200612	3151
7647	200701	3151
7647	200702	3151
7647	200703	3151
7647	200704	3151
7647	200705	3151
7647	200706	3151
7647	200707	3151
7647	200708	3151
7647	200709	3151
7647	200710	3151
7647	200711	3151
7647	200712	3151
7647	200801	3151
7647	200802	3151
7647	200803	3151
7647	200804	3151
7647	200805	3151
7647	200806	3151
7647	200807	3151
7647	200808	3151
7647	200809	3151
7647	200810	3151
7647	200811	3151
7647	200812	3151
7647	200901	3151
7647	200902	3151
7647	200903	3151
7647	200904	3151
7647	200905	3151
7647	200906	3151
7647	200907	3151
7647	200908	3151
7647	200909	3151
7647	200910	3151
7647	200911	3151
7647	200912	3151
7647	201001	3151
7647	201002	3151
7647	201003	3151
7647	201004	3151
7647	201005	3151
7647	201006	3151
7647	201007	3151
7647	201008	3151
7647	201009	3151
7647	201010	3151
7647	201011	3151
7647	201012	3151
7647	201101	3151
7647	201102	3151
7647	201103	3151
7647	201104	3151
7647	201105	3151
7647	201106	3151
7647	201107	3151
7647	201108	3151
7647	201109	3151
7647	201110	3151
7647	201111	3151
7647	201112	3151
7647	201201	3151
7647	201202	3151
7647	201203	3151
7647	201204	3151
7647	201205	3151
7647	201206	3151
7647	201207	3151
7647	201208	3151
7647	201209	3151
7647	201210	3151
7647	201211	3151
7647	201212	3151
7647	201301	3151
7647	201302	3151
7647	201303	3151
7647	201304	3151
7647	201305	3151
7647	201306	3151
7647	201307	3151
7647	201308	3151
7647	201309	3151
7647	201310	3151
7647	201311	3151
7647	201312	3151
7647	201401	3151
7647	201402	3151
7647	201403	3151
7647	201404	3151
7647	201405	3151
7647	201406	3151
7647	201407	3151
7647	201408	3151
7647	201409	3151
7647	201410	3151
7647	201411	3151
7647	201412	3151
7647	201501	3151
7647	201502	3151
7647	201503	3151
7647	201504	3151
7647	201505	3151
7647	201506	3151
7647	201507	3151
7647	201508	3151
7647	201509	3151
7647	201510	3151
7647	201511	3151
