,Austria,Austrlia,Belgium,Canada,Denmark,Finland,France,Germany,HongKong,Ireland,Italy,Japan,Nethrlnd,NewZland,Norway,Singapor,Spain,Sweden,Swtzrlnd,UK
1996-06,-5.14,-2.28,0.38,-2.49,2.2,-3.41,0.81,2.37,-1.9,-0.12,-0.45,0.73,-0.46,4.65,-0.6,-1.06,4.08,2.41,4.15,-0.92
1996-07,-1.7,-3.97,1.26,-3.31,1.67,0.95,-2.59,-0.15,-3.93,-1.93,-7.53,-4.58,-1.53,3.86,-3.2,-7.49,-4.86,-3.74,-2.09,0.31
1996-08,0.23,5.91,0.86,4.41,3.92,10.37,-2.3,2.07,4.04,4.43,-1.05,-4.29,-0.49,-9.91,2.43,3.66,2.12,5.84,3.94,4.97
1996-09,-2.32,1.46,0.95,3.38,-0.12,0.26,4.98,1.21,6.52,3.41,7.0,3.6,5.34,14.21,0.58,-0.93,2.12,4.79,-1.84,2.33
1996-10,0.59,3.06,1.62,8.87,3.39,2.05,2.08,0.97,4.03,2.25,-5.15,-6.9,1.16,4.5,4.38,-3.68,3.07,3.63,-1.26,4.77
1996-11,2.57,5.17,3.71,6.81,2.21,8.2,5.52,4.25,8.67,4.35,10.61,1.54,6.43,1.49,4.36,5.6,6.4,6.33,1.5,5.53
1996-12,0.73,-0.34,0.98,-3.15,3.93,4.08,1.48,2.09,0.14,1.08,0.46,-6.66,2.2,0.67,7.87,1.86,10.93,1.14,-1.65,3.63
1997-01,-3.02,-3.86,1.31,5.38,4.23,5.51,1.7,-1.35,-2.46,3.17,11.58,-10.87,-0.45,-0.59,7.86,2.43,-2.66,2.25,2.45,-3.06
1997-02,0.26,3.31,2.22,-0.83,-0.24,0.35,1.05,4.08,0.08,2.31,-10.39,2.15,4.31,-4.7,-4.53,-1.54,-3.46,0.97,1.28,2.68
1997-03,0.76,0.08,2.25,-5.34,2.61,0.08,3.34,7.06,-6.39,-2.1,2.82,-2.98,3.03,-1.18,2.59,-9.03,3.82,3.79,5.85,1.1
1997-04,-4.59,2.97,0.49,2.57,-3.02,-1.34,-4.07,-3.36,1.44,-2.76,1.45,2.66,-1.15,1.37,-5.15,-5.2,5.49,-7.49,2.47,1.32
1997-05,6.74,2.8,2.99,8.0,7.02,4.58,-1.09,3.95,12.27,8.73,-0.36,13.05,6.27,5.05,5.39,6.77,7.92,8.28,7.25,4.26
1997-06,-2.18,4.08,2.54,1.35,1.91,6.05,8.08,4.31,4.46,4.5,9.27,6.74,6.33,5.28,1.76,-0.69,7.41,8.3,8.06,1.68
1997-07,5.11,-0.55,1.64,7.3,6.26,7.87,2.01,8.19,5.97,5.0,5.34,-3.01,7.56,-1.84,1.95,-0.66,-5.93,3.04,2.08,4.88
1997-08,-5.85,-6.83,-7.18,-5.22,-4.64,-8.25,-7.09,-9.5,-13.24,-1.3,-2.27,-8.96,-9.04,-5.96,0.6,-14.52,-1.96,-4.13,-9.11,-2.2
1997-09,7.09,6.43,6.88,6.27,11.49,17.93,10.06,7.21,5.62,4.98,14.95,-1.91,8.58,5.22,10.59,4.46,13.46,11.34,10.24,8.74
1997-10,-3.72,-12.98,-0.98,-4.34,-3.59,-7.52,-6.44,-6.48,-28.6,-0.51,-5.46,-8.41,-4.8,-9.2,-3.18,-17.43,-9.63,-10.27,-0.88,-3.86
1997-11,-5.62,-2.42,0.89,-3.57,0.93,-4.59,2.17,2.61,-2.33,1.3,1.7,-6.54,-0.49,-2.86,-6.76,6.36,6.07,2.51,3.04,0.79
1997-12,5.48,2.17,2.71,2.34,8.36,-5.67,3.23,3.35,1.55,3.6,7.84,-6.6,2.53,-5.09,-0.56,-6.0,2.49,-2.84,5.04,3.22
1998-01,3.63,6.49,4.23,-1.74,0.24,6.89,4.13,2.76,-15.5,3.77,11.16,9.59,1.64,-2.08,-7.05,-14.7,7.86,1.5,3.72,4.8
1998-02,7.2,2.56,6.15,8.78,1.96,17.3,8.82,6.87,21.69,15.75,4.71,0.57,11.14,2.6,3.93,22.14,12.33,9.54,9.41,7.23
1998-03,4.85,-0.44,8.17,7.27,10.94,4.85,10.73,6.44,-2.48,4.03,21.22,-6.79,3.73,-5.07,8.73,-2.68,12.92,6.81,2.62,5.18
1998-04,5.95,-1.48,7.24,0.66,-4.13,16.44,3.67,3.98,-10.56,5.85,-3.26,-0.85,2.92,0.48,5.37,-6.56,1.99,4.62,-0.36,0.31
1998-05,7.51,-4.55,8.25,-1.2,2.7,-0.84,5.38,7.45,-14.25,-4.4,4.96,-4.81,6.67,-6.72,-8.49,-17.56,1.0,2.74,4.92,-2.74
1998-06,-6.85,-0.12,4.15,-3.58,-1.83,4.91,2.23,3.36,-6.88,1.62,-5.74,0.69,-0.88,-12.98,-3.36,-11.16,0.2,-0.5,-1.95,0.95
1998-07,2.12,-0.15,4.16,-7.41,2.68,9.33,0.71,1.76,-7.72,0.32,9.75,-1.02,2.48,8.3,1.39,-1.38,4.5,-0.91,5.86,-1.7
1998-08,-15.09,-13.18,-8.32,-21.61,-10.5,-19.07,-11.12,-15.48,-7.41,-15.43,-13.97,-10.72,-10.57,-18.88,-28.23,-17.84,-19.48,-16.09,-14.72,-8.3
1998-09,-6.9,8.56,0.0,3.65,-4.04,2.86,-6.54,-1.13,17.11,9.09,-5.08,-2.05,-7.52,-4.41,-1.99,15.06,-1.12,-8.77,-4.5,-1.48
1998-10,9.46,8.54,5.95,9.14,7.44,11.41,10.45,3.94,32.18,3.66,6.27,16.74,6.69,14.85,15.17,27.09,14.41,5.56,13.21,5.9
1998-11,-4.05,6.67,3.06,3.89,-3.87,7.51,6.54,4.58,0.07,4.65,10.98,4.23,7.44,5.89,-7.86,14.6,7.73,8.91,4.58,3.75
1998-12,1.79,-0.01,9.27,1.39,9.53,18.28,4.17,2.53,-2.02,8.51,7.53,3.55,8.17,3.13,-5.87,-0.16,4.48,-1.57,1.85,3.1
1999-01,-6.36,7.17,-4.61,7.31,-3.06,7.55,3.48,0.36,-8.25,-1.34,-4.36,0.73,-6.62,8.93,11.65,-3.31,-3.05,6.53,-1.99,-0.19
1999-02,4.19,-2.88,-4.7,-6.1,-7.76,-5.66,-6.9,-6.88,0.58,0.25,-1.55,-2.82,-1.58,0.0,-9.16,-1.08,-2.42,-3.4,-3.95,2.62
1999-03,0.29,5.32,-4.81,5.66,-2.85,11.41,1.87,-2.46,12.74,-2.83,3.64,14.64,1.29,-1.34,10.39,6.74,-3.86,2.07,-0.21,2.45
1999-04,5.03,9.82,-2.16,10.45,4.68,1.72,3.12,5.6,21.88,-4.09,-2.34,4.93,5.56,13.97,7.46,28.14,0.14,6.49,0.14,4.79
